#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Density (g/mL)"
100,-331121.7272924455,37010.13834812079,-294111.5889443247,184.00988919517755,0.9957489333630352
200,-330021.5572816618,40060.21089111082,-289961.34639055096,199.17447748700562,0.9957489333630352
300,-327826.52717791963,41929.77013344795,-285896.7570444717,208.46969778017,0.9957489333630352
400,-325715.34000092465,43379.22060658113,-282336.1193943435,215.6761885651113,0.9957489333630352
500,-324564.46369726676,45292.31627574144,-279272.1474215253,225.187866656956,0.9957489333630352
600,-323075.65379980486,46623.77515305253,-276451.87864675233,231.80771763339496,0.9957489333630352
700,-321625.27439764794,47528.35997089802,-274096.9144267499,236.30520290442317,0.9957489333630352
800,-319916.579308263,48383.834130842006,-271532.745177421,240.55851598042315,0.9957489333630352
900,-318913.44610264245,49799.50131993543,-269113.944782707,247.59704040181475,0.9957489333630352
1000,-317727.0963191297,50585.41569642024,-267141.68062270945,251.50451072720492,0.9957489333630352
1100,-316708.1583823422,51424.997962700436,-265283.16041964176,255.67881124819442,0.9957489333630352
1200,-315936.48209646996,52293.33523913915,-263643.1468573308,259.9960781689122,0.9957489333630352
1300,-314481.47166908253,52389.31304373022,-262092.1586253523,260.4732680951394,0.9957489333630352
1400,-314256.05158000253,53273.21266748535,-260982.83891251718,264.8679091066638,0.9957489333630352
1500,-312855.0842514755,53723.07445408718,-259132.00979738834,267.10456698475974,0.9957489333630352
1600,-312112.69173627626,54293.051475455926,-257819.64026082034,269.9384231449107,0.9957489333630352
1700,-311516.88912070263,54636.88719247305,-256880.00192822958,271.647932350052,0.9957489333630352
1800,-310410.6317237327,54685.41459435015,-255725.21712938254,271.88920466733816,0.9957489333630352
1900,-310062.8126588024,55714.70944786933,-254348.10321093304,277.00673300953764,0.9957489333630352
2000,-309140.3823973695,55993.454434113926,-253146.92796325556,278.392619048388,0.9957489333630352
2100,-308863.0791713493,56771.76538385451,-252091.3137874948,282.2622860643296,0.9957489333630352
2200,-308129.8022137722,56833.58363093226,-251296.21858283994,282.56963884123684,0.9957489333630352
2300,-308203.70434804726,57377.76775660543,-250825.93659144183,285.2752558731164,0.9957489333630352
2400,-306689.8276675148,56864.87177182466,-249824.95589569013,282.72519965769686,0.9957489333630352
2500,-305928.71346942894,56740.483131676214,-249188.23033775273,282.10675452583706,0.9957489333630352
2600,-305679.89029073436,57353.74639112955,-248326.1438996048,285.15582457680625,0.9957489333630352
2700,-305518.4924064176,57961.109183175024,-247557.3832232426,288.1755582242282,0.9957489333630352
2800,-305186.30240845773,57473.52564560692,-247712.77676285082,285.75135240588236,0.9957489333630352
2900,-304728.3800458526,57536.509354507085,-247191.87069134554,286.06449971667615,0.9957489333630352
3000,-304718.2986303605,58004.39340640232,-246713.9052239582,288.390762097422,0.9957489333630352
3100,-304113.83985663974,57977.44041761616,-246136.39943902357,288.25675512794334,0.9957489333630352
3200,-304268.76676776726,58494.81205570453,-245773.95471206272,290.8290637451631,0.9957489333630352
